analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_deaths,total_infant_deaths,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,calibration_loaded,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,contact_reciprocity_error_before,contact_reciprocity_error_after,country,strategy,maternal_protection_duration_days,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status
maternal_duration_sensitivity,current_maternal_duration_90d,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,899227.3751457989,5058936.81976084,83540.67474506018,37206.542210513515,79706.69572373177,43.03670278921151,41.34085953535764,3577984.989856907,0.7072602638326793,0.043,0.9777289241395527,27319389.691619385,290798.05530274584,5.0,3703.5503917664323,61.158521978759644,2558.926480562485,5481.927700015066,0.3150634276607844,2.843269326015144,14929.187328072121,76829.86917855099,50925.45618443508,11174.144832733926,1470.0,1825.0,2,3.041095890410959,0.8222497320715088,0.17775026792849127,5.6258705635386095,0.6471435549242288,0.5094248626602503,0.0006859186124827489,0.030088417287062203,0.04217242513475725,0.5741967938899266,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,current,90.0,54.978665659530755,1.1124046254141418,0.11240462541414176,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,maternal_direct_antibody_only_maternal_duration_90d,symptom_protective,country_timeline,maternal_direct_antibody_only,2025-01-01,2029-12-31,2025,2029,895757.0565115632,5050316.027435983,82071.92130830049,34813.16484691783,76954.78504954999,23.60857942614856,21.916374263094344,3558261.7861336377,0.7045622029994324,0.043000000000000003,0.9773647903034616,27319389.695160214,290798.0553419352,5.0,3697.2392749539895,60.08327581552087,2394.318958287581,5292.6616004403895,0.17283387139743428,1.507326053974051,14810.669782761554,75972.20189832727,50774.518546650695,11085.437244975254,1470.0,1825.0,2,3.041095890410959,0.8226334645900698,0.17736653540993041,5.638042135111875,0.6475862916001647,0.5097382556082467,0.0008078456048514275,0.030077648051821768,0.04216185691193993,0.5745389410315517,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,maternal_direct_antibody_only,90.0,54.978665659530755,1.0928471088694969,0.09284710886949687,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,maternal_immunization_maternal_duration_90d,symptom_protective,country_timeline,maternal_immunization,2025-01-01,2029-12-31,2025,2029,763735.2429469563,4414689.661737108,70417.8089499358,29323.315189157736,64627.7257391169,19.8002643725872,18.331793532919768,3068074.7376885423,0.694969516040977,0.043000000000000003,0.9690677048984189,27319389.687963475,290798.0552932482,5.0,3231.909432941802,51.55152421355948,2016.747681451126,4444.852677845087,0.14495392904996637,1.2607920307055367,11643.15516459318,64282.912720325854,40483.042847635596,8714.62720928618,1825.0,1825.0,2,4.027397260273973,0.8270013746229131,0.17299862537708688,5.780392750637699,0.7102748248035473,0.5672479470710494,0.0007678635007259717,0.0302115934110584,0.0424911826679518,0.6368041852238111,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,0.14999747890518286,1.502232944079048e-16,Australia,maternal_immunization,90.0,54.978665659530755,0.9376641574534619,0.06233584254653812,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,current_maternal_duration_180d,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,897980.6498236428,5054761.464920608,83162.23590550259,36643.58555504468,79445.5199428225,40.16004877836765,38.46596258288381,3571244.0584999123,0.7065108973556684,0.043,0.977548857421203,27319389.727485824,290798.05621663074,5.0,3700.4936898975106,60.88147409957237,2520.2084244845814,5463.964991818197,0.2940039962749456,2.6455446837119503,14884.822943982494,76590.64317345852,50883.7699865144,11140.939151541936,1470.0,1825.0,2,3.041095890410959,0.8223495498144646,0.17765045018553546,5.62903161211027,0.647289524933595,0.5094237105039134,0.0008558844780862965,0.030083748214460294,0.04216627845340285,0.5741836137876455,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,current,180.0,54.978665659530755,1.1073654365603605,0.10736543656036046,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,maternal_direct_antibody_only_maternal_duration_180d,symptom_protective,country_timeline,maternal_direct_antibody_only,2025-01-01,2029-12-31,2025,2029,894133.567117442,5046741.926195661,81379.45298381479,33686.42592579539,76069.6276083852,20.239192094792543,18.548659693375065,3549590.936011228,0.7033430652728033,0.043,0.9772005854592007,27319389.709660754,290798.05605229526,5.0,3694.6227421844774,59.57633303575384,2316.826073949919,5231.783777447627,0.14816723440667126,1.2757072688298434,14773.100586497745,75580.94152768826,50687.42624933703,11057.317592946567,1470.0,1825.0,2,3.041095890410959,0.8228295442498567,0.17717045575014345,5.644281919160725,0.6478745344686702,0.5098443227363714,0.0010077878696729315,0.030070073851862087,0.042152989977889,0.574643682769246,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,maternal_direct_antibody_only,180.0,54.978665659530755,1.0836263907293657,0.08362639072936573,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,maternal_immunization_maternal_duration_180d,symptom_protective,country_timeline,maternal_immunization,2025-01-01,2029-12-31,2025,2029,761944.6009115496,4409223.197508727,69794.52012090088,28357.363653110777,63832.386226025854,16.978128084265247,15.512021875403681,3057344.6765111913,0.6933975758447959,0.043000000000000003,0.9687343641629561,27319389.69631295,290798.0552082585,5.0,3227.9075385815077,51.09522642837106,1950.313156860854,4390.152209258176,0.12429361177535113,1.066858708136446,11621.08135823841,63913.90928863899,40409.283678749125,8698.105488171863,1825.0,1825.0,2,4.027397260273973,0.827193007298415,0.17280699270158495,5.786802862352157,0.7105858705441853,0.5673844889380224,0.0009579993719466042,0.030204005767942122,0.04248235722393259,0.636941508180364,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,0.14999747890518286,1.502232944079048e-16,Australia,maternal_immunization,180.0,54.978665659530755,0.9293646147178458,0.07063538528215418,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,current_maternal_duration_270d,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,898178.4891389513,5057216.6433359,83066.09320720012,36427.845521693715,79414.19539197473,38.90018862521184,37.205225234277165,3571956.7148413677,0.7063088190117938,0.043000000000000003,0.9775950414999853,27319389.689178992,290798.0554895367,5.0,3702.2910840054574,60.811089963771764,2505.3706401420163,5461.810620314285,0.28478080270307005,2.5588359022308422,14892.3424029502,76574.18329309144,50904.97459266931,11146.567273722761,1470.0,1825.0,2,3.041095890410959,0.8223966753881272,0.17760332461187273,5.630525229104581,0.6474046737890976,0.5094664042196888,0.0009332435961087195,0.03008115018477044,0.042163794433195685,0.5742264855750229,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,current,270.0,54.978665659530755,1.1060852284113216,0.10608522841132162,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,maternal_direct_antibody_only_maternal_duration_270d,symptom_protective,country_timeline,maternal_direct_antibody_only,2025-01-01,2029-12-31,2025,2029,892903.491966064,5042312.487469433,81019.95954458989,33155.33581099211,75621.15837588786,18.70124582064973,17.012445825068564,3542179.972379274,0.7024911647546412,0.043000000000000003,0.9770292718521398,27319389.68918892,290798.05555474263,5.0,3691.380038013677,59.31315484448896,2280.2996909826743,5200.939753990356,0.1369082255014676,1.170052240728685,14730.026102606545,75357.82503894871,50669.55770126448,11025.077348740628,1470.0,1825.0,2,3.041095890410959,0.822917858783048,0.17708214121695226,5.647096839510482,0.6479937189246215,0.5098810366366241,0.0010983396544017527,0.030066956618159748,0.042149208060014286,0.5746792145920457,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,1.5769242865424038e-05,1.502232944079048e-16,Australia,maternal_direct_antibody_only,270.0,54.978665659530755,1.0788394758759812,0.07883947587598117,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,maternal_immunization_maternal_duration_270d,symptom_protective,country_timeline,maternal_immunization,2025-01-01,2029-12-31,2025,2029,760812.3461357935,4404885.112077277,69483.16163921033,27907.87294208799,63444.13372981218,15.693547417547837,14.22917383813294,3050864.1948901974,0.6926092547851846,0.043,0.9685520595971456,27319389.697666675,290798.0551151455,5.0,3224.7317094740915,50.86728686705972,1919.398871566557,4363.449659571525,0.11488944366050907,0.9786292299994029,11616.295542531265,63717.949979401004,40357.721382329124,8694.523418347395,1825.0,1825.0,2,4.027397260273973,0.8272798661536476,0.17272013384635268,5.789712975150737,0.7107293626418522,0.5674477728055906,0.0010441626047174306,0.03020083785353058,0.04247878467804106,0.6370055775055631,,True,Australia,AUS,2025,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,1886.6185775229565,1886.6185775229565,True,0.14999747890518286,1.502232944079048e-16,Australia,maternal_immunization,270.0,54.978665659530755,0.925218650850281,0.07478134914971901,0.25,calibrated_country_scenario_analysis
maternal_duration_sensitivity,current_maternal_duration_90d,symptom_protective,country_timeline,current,2025-01-01,2029-12-31,2025,2029,2376355.5253680972,12479083.492023246,517258.49441155314,38486.84548170604,77141.37997863325,76.96484684743794,72.3455966700817,12458753.654618345,0.9983708869791683,0.997,0.9989989884310392,1404870879.2608259,8131253.7392033655,5.0,177.6545257823143,7.363786979251918,94.66398839861237,189.74043229449373,0.01095685702986926,0.17794450644500376,718.4105940829602,152281.38647045306,6696.402759217097,27651.3458350581,1710.0,1825.0,2,3.041095890410959,0.8095729123948016,0.1904270876051985,5.251353746864218,0.3288823601738986,0.24812017930622945,1.2037998090058501e-05,0.01835406761641794,0.028000149272197322,0.28251610528719334,,True,China,CHN,2025,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,c9124e2d90284787c9633468f872de64e5756b0e2fc7588adbff0e74e43794ce,397a78a053794ed703de7d0466023d5167520754a81338555a8d3546a1ac044e,True,accepted,4471.436261444852,4471.030414119333,True,2.010611200412732e-05,1.6667804836994706e-16,China,current,90.0,4.430832490427902,1.661942083154845,0.661942083154845,0.25,calibrated_country_scenario_analysis
