country,grid_valid,issue,grid_points,grid_half_width,grid_min_edge_drop,grid_effective_points,grid_max_weight,grid_smoothing,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target
Australia,True,,161,0.08,250.19176607611325,10.667239879326868,0.1345594243427082,savgol,20.0,10.0,0.2
Brazil,True,,161,0.0026653883654208,25.420828646357226,41.53558612614559,0.0436694923237191,savgol,20.0,10.0,0.2
China,True,,161,0.0074298209167173,60.58083574582997,18.228883030044685,0.139129020052739,savgol,20.0,10.0,0.2
Japan,True,,161,0.0038210611493614,21.91337214254554,21.206273158934664,0.0940420265930429,savgol,20.0,10.0,0.2
New_Zealand,True,,161,0.0079034578439367,24.83553895816453,15.023115899454458,0.1615155143476574,none,20.0,10.0,0.2
South_Africa,True,,161,0.0092365329701703,43.48623710464392,21.09460975094322,0.1001857955642617,none,20.0,10.0,0.2
Sweden,True,,161,0.008142333459761,22.224092795790057,12.512400063728771,0.1750688816498454,none,20.0,10.0,0.2
Thailand,True,,161,0.0034713784462884,25.327030849115545,20.06559510174152,0.1265760533553749,none,20.0,10.0,0.2
United_Kingdom,True,,161,0.012974618436241,37.58486272542677,20.041034171462933,0.0880577204765338,savgol,20.0,10.0,0.2
United_States,True,,161,0.0046262770683087,44.57579364545836,22.09088535458102,0.0736185157733631,savgol,20.0,10.0,0.2
